locus_tag	gene	product	go_terms
EQU24_RS00005	dnaA	chromosomal replication initiator protein DnaA	['GO:0000166', 'GO:2000112', 'GO:1990837', 'GO:0003677', 'GO:0008144', 'GO:0006725', 'GO:0080090', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0005886', 'GO:0043167', 'GO:0016020', 'GO:0044238', 'GO:0005524', 'GO:0044464', 'GO:0006259', 'GO:0050789', 'GO:0090304', 'GO:0006260', 'GO:0097159', 'GO:0005488', 'GO:0051052', 'GO:0051171', 'GO:0019219', 'GO:0003688', 'GO:0035639', 'GO:0005515', 'GO:0031326', 'GO:1901363', 'GO:1901360', 'GO:0060255', 'GO:0044444', 'GO:0008150', 'GO:0032559', 'GO:0050794', 'GO:0046483', 'GO:0003674', 'GO:0005737', 'GO:0005622', 'GO:0010556', 'GO:0006807', 'GO:0043168', 'GO:0044260', 'GO:0044424', 'GO:0042802', 'GO:0034645', 'GO:0043565', 'GO:0065007', 'GO:0003676', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:0005623', 'GO:0071944', 'GO:0006275', 'GO:0031323', 'GO:0032553', 'GO:0030554', 'GO:0009889', 'GO:0009059', 'GO:0036094', 'GO:1901576', 'GO:0006261', 'GO:0003690', 'GO:0006139', 'GO:0005575', 'GO:0019222', 'GO:0032555', 'GO:1901265', 'GO:0044237', 'GO:0017076', 'GO:0071704', 'GO:0044249', 'GO:0006270', 'GO:0097367']
EQU24_RS00010		DNA polymerase III subunit beta	['GO:0009360', 'GO:0016772', 'GO:1990234', 'GO:0003677', 'GO:0033554', 'GO:0006725', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0140097', 'GO:0044271', 'GO:0044238', 'GO:0044464', 'GO:0006259', 'GO:0090304', 'GO:0016779', 'GO:0006260', 'GO:0034061', 'GO:0019438', 'GO:0005488', 'GO:0051716', 'GO:0022616', 'GO:0005515', 'GO:0034654', 'GO:1901360', 'GO:0044444', 'GO:0008150', 'GO:0042575', 'GO:0046483', 'GO:0090305', 'GO:0032991', 'GO:0003674', 'GO:0006271', 'GO:0005737', 'GO:0005622', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0071897', 'GO:1901362', 'GO:0050896', 'GO:0042802', 'GO:0034645', 'GO:0006974', 'GO:0018130', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:0016740', 'GO:0005623', 'GO:0006950', 'GO:1902494', 'GO:0009059', 'GO:1901576', 'GO:0006261', 'GO:0003887', 'GO:0003824', 'GO:0006139', 'GO:0005575', 'GO:0008408', 'GO:0044237', 'GO:0061695', 'GO:0071704', 'GO:0044249']
EQU24_RS00015	recF	DNA replication/repair protein RecF	['GO:0003677', 'GO:0033554', 'GO:0009314', 'GO:0006725', 'GO:0009605', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0005886', 'GO:0044271', 'GO:0016020', 'GO:0009411', 'GO:0005524', 'GO:0044238', 'GO:0044464', 'GO:0006259', 'GO:0090304', 'GO:0006260', 'GO:0097159', 'GO:0019438', 'GO:0005488', 'GO:0051716', 'GO:0034654', 'GO:1901363', 'GO:1901360', 'GO:0006302', 'GO:0044444', 'GO:0008150', 'GO:0046483', 'GO:0003674', 'GO:0003697', 'GO:0006281', 'GO:0005737', 'GO:0005622', 'GO:0071496', 'GO:0000731', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0071897', 'GO:1901362', 'GO:0050896', 'GO:0034645', 'GO:0006974', 'GO:0018130', 'GO:0003676', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:0005623', 'GO:0009432', 'GO:0071944', 'GO:0006950', 'GO:0009059', 'GO:0009416', 'GO:1901576', 'GO:0009991', 'GO:0007154', 'GO:0006139', 'GO:0031668', 'GO:0005575', 'GO:0044237', 'GO:0009628', 'GO:0071704', 'GO:0044249']
EQU24_RS00020	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	['GO:0000166', 'GO:0006351', 'GO:0003918', 'GO:0006996', 'GO:0003677', 'GO:0042623', 'GO:0008144', 'GO:0006725', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0140097', 'GO:0043167', 'GO:0044271', 'GO:0044238', 'GO:0005524', 'GO:0044464', 'GO:0006259', 'GO:0090304', 'GO:0071840', 'GO:0009295', 'GO:0097159', 'GO:0009330', 'GO:0019438', 'GO:0005488', 'GO:0003916', 'GO:0010467', 'GO:0035639', 'GO:0007059', 'GO:0032774', 'GO:0016070', 'GO:0034654', 'GO:0016817', 'GO:1901363', 'GO:0016853', 'GO:0016818', 'GO:1901360', 'GO:0044444', 'GO:0016462', 'GO:0008150', 'GO:0032559', 'GO:0046483', 'GO:0003674', 'GO:0032991', 'GO:0051276', 'GO:0005737', 'GO:0046872', 'GO:0005622', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0043168', 'GO:0008094', 'GO:0097659', 'GO:1901362', 'GO:0042493', 'GO:0050896', 'GO:0034645', 'GO:0034335', 'GO:0018130', 'GO:0003676', 'GO:0042221', 'GO:0006265', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:0017111', 'GO:0016787', 'GO:0005623', 'GO:0061505', 'GO:0016887', 'GO:0032553', 'GO:0036094', 'GO:0030554', 'GO:1901576', 'GO:0009059', 'GO:0006261', 'GO:0071103', 'GO:0005694', 'GO:0003824', 'GO:0006139', 'GO:0005575', 'GO:1901265', 'GO:0032555', 'GO:0044237', 'GO:0017076', 'GO:0071704', 'GO:0044249', 'GO:0016043', 'GO:0097367']
EQU24_RS00025		hypothetical protein	[]
EQU24_RS00030		DUF2283 domain-containing protein	[]
EQU24_RS00035		hypothetical protein	[]
EQU24_RS00040		TolC family protein	['GO:0015562', 'GO:0055085']
EQU24_RS00045		efflux RND transporter periplasmic adaptor subunit	['GO:0022857', 'GO:0055085', 'GO:0016020']
EQU24_RS00050		efflux RND transporter permease subunit	['GO:0008324', 'GO:0098869', 'GO:0004601', 'GO:0016021', 'GO:0098655']
